;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
9866;Apartamento;Barra da Tijuca;4;3;2;400;7500.0;1800.0;
9867;Apartamento;Barra da Tijuca;2;1;0;55;1250.0;500.0;14.0
9868;Apartamento;Vila Isabel;2;1;1;80;1300.0;700.0;66.0
9869;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0
9870;Apartamento;Copacabana;2;0;0;58;2400.0;450.0;
9871;Apartamento;São Cristóvão;2;1;1;55;1800.0;548.0;
9872;Quitinete;Catete;1;0;0;24;1100.0;400.0;30.0
9873;Apartamento;Gávea;3;2;1;130;5500.0;1400.0;330.0
9874;Apartamento;Guadalupe;1;0;0;35;450.0;;
9875;Apartamento;Lapa;1;0;0;44;1300.0;480.0;34.0
9876;Casa de Condomínio;Vargem Grande;4;2;2;400;3500.0;75000.0;
9877;Apartamento;Ipanema;2;1;1;124;9000.0;1650.0;400.0
9878;Apartamento;Laranjeiras;2;1;0;70;2200.0;800.0;85.0
9879;Apartamento;Leblon;3;2;1;130;7500.0;2300.0;450.0
9880;Apartamento;Barra da Tijuca;3;2;2;170;5500.0;2070.0;540.0
9881;Apartamento;Copacabana;1;0;0;35;1300.0;689.0;30.0
9882;Apartamento;Ipanema;5;1;4;240;12000.0;2300.0;1050.0
9883;Apartamento;Barra da Tijuca;3;3;2;280;9000.0;3700.0;1200.0
9884;Apartamento;Pechincha;1;0;0;40;900.0;;13.0
9885;Apartamento;Copacabana;3;1;0;203;4000.0;1400.0;502.0
9886;Apartamento;Copacabana;2;1;1;62;3800.0;;
9887;Apartamento;Vila Isabel;2;1;1;85;2000.0;451.0;100.0
9888;Casa;Vila Isabel;4;4;4;337;4500.0;;337.0
9889;Apartamento;Recreio dos Bandeirantes;3;1;1;74;1800.0;840.0;148.0
9890;Casa de Condomínio;Cachamorra;3;5;3;250;3000.0;200.0;180.0
9891;Apartamento;Barra da Tijuca;4;2;1;200;2800.0;1700.0;250.0
9892;Apartamento;Barra da Tijuca;5;3;5;1200;24000.0;7700.0;5810.0
9893;Apartamento;Botafogo;2;1;1;96;3700.0;900.0;2234.0
9894;Apartamento;Cascadura;3;1;1;500;3500.0;;
